"Story","Title","Result","Date","Stability","Duration (s)"
"Categories test","This will get all categories","SUCCESS","2022-06-07T23:18:39.588+01:00[Europe/London]","0.0","2.91"
"Product test","This will get all products list","SUCCESS","2022-06-07T23:18:39.592+01:00[Europe/London]","0.0","3.0"
"Categories test","Create new categories","SUCCESS","2022-06-07T23:18:42.534+01:00[Europe/London]","0.0","0.46"
"Product test","This will create a new product","FAILURE","2022-06-07T23:18:42.617+01:00[Europe/London]","0.0","0.47"
"Categories test","Verify if the categories was added to store","SUCCESS","2022-06-07T23:18:42.992+01:00[Europe/London]","0.0","0.03"
"Categories test","Update the categories","SUCCESS","2022-06-07T23:18:43.023+01:00[Europe/London]","0.0","0.05"
"Categories test","Delete store","FAILURE","2022-06-07T23:18:43.079+01:00[Europe/London]","0.0","0.06"
"Product test","verify if Product is created","FAILURE","2022-06-07T23:18:43.100+01:00[Europe/London]","0.0","0.1"
"Product test","Update the product information and verify updated information","FAILURE","2022-06-07T23:18:43.341+01:00[Europe/London]","0.0","0.06"
"Product test","Delete the product and verify if the product is deleted","FAILURE","2022-06-07T23:18:43.405+01:00[Europe/London]","0.0","0.04"
"Utilities test","This will get the version","SUCCESS","2022-06-07T23:18:44.108+01:00[Europe/London]","0.0","0.04"
"Utilities test","This will get the healthcheck","SUCCESS","2022-06-07T23:18:44.147+01:00[Europe/London]","0.0","0.03"
"Services test","This will get all the services","SUCCESS","2022-06-07T23:18:44.500+01:00[Europe/London]","0.0","0.03"
"Services test","This will create new services","SUCCESS","2022-06-07T23:18:44.535+01:00[Europe/London]","0.0","0.26"
"Services test","Get single services","SUCCESS","2022-06-07T23:18:44.800+01:00[Europe/London]","0.0","0.02"
"Services test","Delete services","SUCCESS","2022-06-07T23:18:44.821+01:00[Europe/London]","0.0","0.03"
"Services test","Update services","SUCCESS","2022-06-07T23:18:44.851+01:00[Europe/London]","0.0","0.02"
"Store test","This will get all stores","SUCCESS","2022-06-07T23:18:44.901+01:00[Europe/London]","0.0","0.06"
"Store test","This will create new store","SUCCESS","2022-06-07T23:18:44.957+01:00[Europe/London]","0.0","0.05"
"Store test","Verify if the product was added to store","SUCCESS","2022-06-07T23:18:45.009+01:00[Europe/London]","0.0","0.02"
"Store test","Update the product information and verify the updated information","SUCCESS","2022-06-07T23:18:45.033+01:00[Europe/London]","0.0","0.06"
"Store test","Delete store","SUCCESS","2022-06-07T23:18:45.097+01:00[Europe/London]","0.0","0.05"
